abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,subsection_name
"  More than a million mourners, summoned by the wail of sirens, bowed their heads in prayer today in a funeral for 17 South Koreans killed in the weekend bombing in Burma.   The death toll in the bombing, which Seoul attributed to North Koreans, rose to 17 shortly before the services began in Yoido Plaza.",https://www.nytimes.com/1983/10/13/world/around-the-world-one-million-at-funeral-for-17-south-koreans.html,,"More than a million mourners, summoned by the wail of sirens, bowed their heads in prayer today in a funeral for 17 South Koreans killed in the weekend bombing in Burma.",A,9,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'BURMA', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'ASSASSINATIONS AND ASSASSINATION ATTEMPTS', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'BOMBS AND BOMB PLOTS', 'rank': 5, 'major': 'N'}]",1983-10-13T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/470fb691-1c75-582a-bc66-bbc2c4657d48,134,nyt://article/470fb691-1c75-582a-bc66-bbc2c4657d48,One Million at Funeral For 17 South Koreans,AROUND THE WORLD,,AROUND THE WORLD; One Million at Funeral For 17 South Koreans,,,,UPI,"[{'firstname': 'Upi', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"   Kim Dae Jung, the South Korean opposition leader, who came to the United States after being released from prison, said today that he had decided to go home in December ''to struggle for the return of democracy.''   Mr. Kim said he had written to President Chun Doo Hwan and to Secretary of State George P. Shultz informing them of his plans.",https://www.nytimes.com/1984/09/13/world/around-the-world-korean-opposition-chief-planning-to-go-home.html,,"Kim Dae Jung, the South Korean opposition leader, who came to the United States after being released from prison, said today that he had decided to go home in December ''to struggle for the return of democracy.''",A,5,The New York Times,[],"[{'name': 'subject', 'value': 'TERMS NOT AVAILABLE', 'rank': 1, 'major': 'N'}]",1984-09-13T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/bb2fdccd-4860-5a10-95e4-2c8b5279efa9,192,nyt://article/bb2fdccd-4860-5a10-95e4-2c8b5279efa9,Korean Opposition Chief Planning to Go Home,AROUND THE WORLD,,AROUND THE WORLD; Korean Opposition Chief Planning to Go Home,,,,Reuters,[],Reuters,
"  Hundreds of anti-Government protesters clashed with riot policemen at a university and in the streets of Seoul today, and about 20 people were arrested, witnesses said.   The protesters shouted slogans demanding the resignation of President Chun Doo Hwan and hurled stones at the police, who responded by firing tear gas.   At Hanyang University in Seoul, the police battled students demanding the release of 191 protesters arrested Monday after occupying and damaging a training center operated by the ruling Democratic Justice Party.",https://www.nytimes.com/1985/11/23/world/around-the-world-protesters-battle-police-in-south-korean-capital.html,,"Hundreds of anti-Government protesters clashed with riot policemen at a university and in the streets of Seoul today, and about 20 people were arrested, witnesses said.",1,5,The New York Times,[],"[{'name': 'subject', 'value': 'TERMS NOT AVAILABLE', 'rank': 1, 'major': 'N'}]",1985-11-23T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/38b2e1ae-ffa5-5f9d-98b2-c4b09c1e7ebc,95,nyt://article/38b2e1ae-ffa5-5f9d-98b2-c4b09c1e7ebc,  Protesters Battle Police In South Korean Capital,AROUND THE WORLD,,AROUND THE WORLD;   Protesters Battle Police In South Korean Capital,,,,Reuters,[],Reuters,
"  President Chun Doo Hwan announced today that he will grant clemency to about 2,000 political prisoners and criminals.   The pardon, effective Friday, comes on the 38th anniversary of Korea's liberation from Japan after World War II.  ",https://www.nytimes.com/1983/08/12/world/around-the-world-south-korean-leader-plans-clemency-for-2000.html,,"President Chun Doo Hwan announced today that he will grant clemency to about 2,000 political prisoners and criminals.",A,5,The New York Times,[],"[{'name': 'subject', 'value': 'TERMS NOT AVAILABLE', 'rank': 1, 'major': 'N'}]",1983-08-12T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/747f0992-aa14-5773-a691-2ffaf2c38edc,44,nyt://article/747f0992-aa14-5773-a691-2ffaf2c38edc,"South Korean Leader Plans Clemency for 2,000",AROUND THE WORLD,,"AROUND THE WORLD; South Korean Leader Plans Clemency for 2,000",,,,UPI,"[{'firstname': 'Upi', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"  A young South Korean on trial for his life said today that he had organized the burning of an American cultural center to protest disparaging remarks about his country by senior American officials.   Moon Bu Shik, 23 years old, one of 16 people on trial in the case, also said investigators had tortured him, forcing him to make a false confession that he had tried to establish a Socialist system in South Korea.",https://www.nytimes.com/1982/07/13/world/around-the-world-south-korean-on-trial-calls-arson-a-protest.html,,A young South Korean on trial for his life said today that he had organized the burning of an American cultural center to protest disparaging remarks about his country by senior American officials.,A,5,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'CULTURAL RELATIONS', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'UNITED STATE INTERNATIONAL RELATIONS', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Demonstrations and Riots', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Arson', 'rank': 6, 'major': 'N'}]",1982-07-13T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/bad5d462-8842-550a-a555-4b2ae51cd652,217,nyt://article/bad5d462-8842-550a-a555-4b2ae51cd652,South Korean on Trial Calls Arson a Protest,AROUND THE WORLD,,AROUND THE WORLD; South Korean on Trial Calls Arson a Protest,,,,UPI,"[{'firstname': 'Upi', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
   Prime Minister Zhao Ziyang told Prime Minister Robert J. Hawke of Australia today that China no longer believed it feasible to reunify Korea under one government.,https://www.nytimes.com/1984/02/09/world/around-the-world-china-giving-up-hope-on-korea-reunification.html,,Prime Minister Zhao Ziyang told Prime Minister Robert J. Hawke of Australia today that China no longer believed it feasible to reunify Korea under one government.,A,5,The New York Times,[],"[{'name': 'subject', 'value': 'TERMS NOT AVAILABLE', 'rank': 1, 'major': 'N'}]",1984-02-09T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/1226c14f-7a94-58d2-b919-3c6fb15fa412,130,nyt://article/1226c14f-7a94-58d2-b919-3c6fb15fa412,China Giving Up Hope On Korea Reunification,AROUND THE WORLD,,AROUND THE WORLD; China Giving Up Hope On Korea Reunification,,,,AP,[],AP,
"  The Supreme Commander of North Korea's Army today ordered all military units to take up ""combat mobilization"" positions, the official North Korean press agency said.   Takeshi Takesada of Japan's Institute of Defense Studies said North Korea regularly took such a posture to counter the annual joint military exercises of South Korea and the United States, called Team Spirit. The mobilization ""has been used as propaganda to say how the military exercises pose a threat to North Korea,"" Mr. Takesada said.    The North Korean press agency, monitored in Tokyo, quoted a communique of the North Korean Army's supreme command as saying, ""This is a legitimate self-defensive step to cope with the new war provocation moves of the United States and the South Korean puppets.""",https://www.nytimes.com/1991/02/27/world/north-korean-military-is-put-on-combat-alert.html,,"The Supreme Commander of North Korea's Army today ordered all military units to take up ""combat mobilization"" positions, the official North Korean press agency said.",A,12,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'ARMAMENT, DEFENSE AND MILITARY FORCES', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'UNITED STATES ARMAMENT AND DEFENSE', 'rank': 5, 'major': 'N'}]",1991-02-27T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/81351cbf-e90e-503a-b4b3-1674658019cc,128,nyt://article/81351cbf-e90e-503a-b4b3-1674658019cc,North Korean Military Is Put on Combat Alert,,,North Korean Military Is Put on Combat Alert,,,,Reuters,[],Reuters,
"  A 28-year-old man from South Korea was held without bond here today in connection with the abduction of a Korean woman, the authorities said.   Sang Don Kang of Seoul was arrested Saturday at a hotel in Englewood after Soon Bok Lee, 23, who told the police through an interpreter that she was the reigning Miss Seoul, got in touch with friends who in turn called the police, the officials said.",https://www.nytimes.com/1982/09/13/us/around-the-nation-south-korean-man-held-in-abduction-of-woman.html,,"A 28-year-old man from South Korea was held without bond here today in connection with the abduction of a Korean woman, the authorities said.",A,16,The New York Times,[],"[{'name': 'glocations', 'value': 'Seoul (South Korea)', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Assaults', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Kidnapping', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Immigration and Emigration', 'rank': 5, 'major': 'N'}]",1982-09-13T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/31057fdd-0bf2-58bb-b3e7-262740dbf8bc,168,nyt://article/31057fdd-0bf2-58bb-b3e7-262740dbf8bc,South Korean Man Held In Abduction of Woman,AROUND THE NATION,,AROUND THE NATION; South Korean Man Held In Abduction of Woman,,,,AP,[],AP,
"  The police detained more than 5,700 people in Seoul in an overnight search for arsonists they said set fire to a United States International Communications Agency office in Pusan on Thursday.   Most of those held in the sweep were reprimanded or sent to summary courts.",https://www.nytimes.com/1982/03/21/world/around-world-south-korea-seizes-5700-after-fire-us-office-south-korea-police.html,,"The police detained more than 5,700 people in Seoul in an overnight search for arsonists they said set fire to a United States International Communications Agency office in Pusan on Thursday.",1,7,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Seoul (South Korea)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'FIRES AND FIREMEN', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Arson', 'rank': 4, 'major': 'N'}]",1982-03-21T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/b3a91bed-16f7-5e9a-962f-7a8c13f45025,138,nyt://article/b3a91bed-16f7-5e9a-962f-7a8c13f45025,"SOUTH KOREA SEIZES 5,700 AFTER FIRE AT U.S. OFFICE; South Korea Police Seize 5,700 in Overnight Search",AROUND THE WORLD,,"AROUND THE WORLD; SOUTH KOREA SEIZES 5,700 AFTER FIRE AT U.S. OFFICE; South Korea Police Seize 5,700 in Overnight Search",,,,Reuters,[],Reuters,
"LEAD: President Roh Tae Woo on proposed new steps toward North-South Korean reunification today and said he hoped a charter for an interim stage, a ''Korean Commonwealth,'' could be signed by next August by the long-divided and hostile sides.",https://www.nytimes.com/1989/09/12/world/a-plan-for-reunifying-korea-is-offered-by-seoul-president.html,,"President Roh Tae Woo on proposed new steps toward North-South Korean reunification today and said he hoped a charter for an interim stage, a ''Korean Commonwealth,'' could be signed by next August by the long-divided and hostile sides.",A,6,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'ROH TAE WOO', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'NORTH KOREA-INTERNATIONAL RELATIONS-SOUTH KOREA', 'rank': 5, 'major': 'N'}]",1989-09-12T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/283a00e6-1b21-53a3-a1b5-97b6387ece69,134,nyt://article/283a00e6-1b21-53a3-a1b5-97b6387ece69,A Plan for Reunifying Korea Is Offered by Seoul President,,,A Plan for Reunifying Korea Is Offered by Seoul President,,,,AP,[],AP,
"LEAD: President Kim Il Sung of North Korea invited his South Korean counterpart, Roh Tae Woo, and six other political and religious leaders to a political conference, the official North Korean press agency reported today.",https://www.nytimes.com/1989/01/02/world/north-korean-invites-south-to-get-together.html,,"President Kim Il Sung of North Korea invited his South Korean counterpart, Roh Tae Woo, and six other political and religious leaders to a political conference, the official North Korean press agency reported today.",1,5,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'ROH TAE WOO', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'KIM IL SUNG', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 5, 'major': 'N'}]",1989-01-02T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/92a8da6a-77f1-5e9e-95f1-1fa542b7fd89,245,nyt://article/92a8da6a-77f1-5e9e-95f1-1fa542b7fd89,North Korean Invites South to Get Together,,,North Korean Invites South to Get Together,,,,AP,[],AP,
LEAD: Thousands of South Koreans lined up before dawn today for passes to travel to North Korea during a proposed five-day border opening.,https://www.nytimes.com/1990/08/05/world/south-koreans-apply-to-cross-north-border.html,,Thousands of South Koreans lined up before dawn today for passes to travel to North Korea during a proposed five-day border opening.,1,18,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 3, 'major': 'N'}]",1990-08-05T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/931d6152-9370-5796-8f12-99475db37693,153,nyt://article/931d6152-9370-5796-8f12-99475db37693,South Koreans Apply to Cross North Border,,,South Koreans Apply to Cross North Border,,,,AP,[],AP,
"LEAD: A mine exploded today while soldiers were exploring a tunnel supposedly dug under the border by North Korea, killing a sentry dog but causing no other casualties, officials said.",https://www.nytimes.com/1990/03/05/world/a-mine-explodes-as-koreans-search-tunnel-at-the-border.html,,"A mine exploded today while soldiers were exploring a tunnel supposedly dug under the border by North Korea, killing a sentry dog but causing no other casualties, officials said.",A,6,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'ARMAMENT, DEFENSE AND MILITARY FORCES', 'rank': 3, 'major': 'N'}]",1990-03-05T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/e5979ed3-2276-5cf3-a02b-fb48e0b9a277,168,nyt://article/e5979ed3-2276-5cf3-a02b-fb48e0b9a277,A Mine Explodes as Koreans Search Tunnel at the Border,,,A Mine Explodes as Koreans Search Tunnel at the Border,,,,AP,[],AP,
"LEAD: North and South Korea have agreed in principle to a joint business project, the first such agreement in 43 years of unremitting hostility between the two nations.",https://www.nytimes.com/1989/02/02/world/the-two-koreas-agree-to-develop-resort-in-north.html,,"North and South Korea have agreed in principle to a joint business project, the first such agreement in 43 years of unremitting hostility between the two nations.",A,1,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Hungary', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'KUMGANG, MOUNT (NORTH KOREA)', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'TAESONG BANK', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'HYUNDAI CORP', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'JOINT VENTURES AND CONSORTIUMS', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'DIPLOMATIC RECOGNITION', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'HUNGARY-INTERNATIONAL RELATIONS-SOUTH KOREA', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Travel and Vacations', 'rank': 11, 'major': 'N'}]",1989-02-02T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/9141da13-ca61-51e1-b535-2df778a1cfec,883,nyt://article/9141da13-ca61-51e1-b535-2df778a1cfec,THE TWO KOREAS AGREE TO DEVELOP RESORT IN NORTH,,,THE TWO KOREAS AGREE TO DEVELOP RESORT IN NORTH,,,,"By Susan Chira, Special To the New York Times","[{'firstname': 'Susan', 'middlename': None, 'lastname': 'Chira', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,
"LEAD: This is the only place that is simply Korea, neither North nor South.",https://www.nytimes.com/1988/08/24/world/reporter-s-notebook-the-phantom-place-of-korean-unity.html,,"This is the only place that is simply Korea, neither North nor South.",A,3,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'PANMUNJOM (KOREA)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 4, 'major': 'N'}]",1988-08-24T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/5f7145ea-e8f3-5df4-afb6-34c4270ea8ec,911,nyt://article/5f7145ea-e8f3-5df4-afb6-34c4270ea8ec,Reporter's Notebook; The Phantom Place of Korean Unity,,,Reporter's Notebook; The Phantom Place of Korean Unity,,,,"By Susan Chira, Special To the New York Times","[{'firstname': 'Susan', 'middlename': None, 'lastname': 'Chira', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,
"LEAD: Just four days before the start of the Olympic Games in Seoul, Japan said today that it would lift a package of sanctions against North Korea. The sanctions were imposed earlier this year after the bombing last November of a South Korean jet in which 115 people died.",https://www.nytimes.com/1988/09/13/world/japan-to-remove-sanctions-against-north-korea.html,,"Just four days before the start of the Olympic Games in Seoul, Japan said today that it would lift a package of sanctions against North Korea. The sanctions were imposed earlier this year after the bombing last November of a South Korean jet in which 115 people died.",A,9,The New York Times,[],"[{'name': 'glocations', 'value': 'Japan', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'South Korea', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Seoul (South Korea)', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Olympic Games (1988)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'SANCTIONS (ECONOMIC)', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'BOMBS AND BOMB PLOTS', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'SUMMER GAMES (OLYMPICS)', 'rank': 10, 'major': 'N'}]",1988-09-13T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/0d3379fc-ed46-5ad3-b870-6178135326d0,753,nyt://article/0d3379fc-ed46-5ad3-b870-6178135326d0,Japan to Remove Sanctions Against North Korea,,,Japan to Remove Sanctions Against North Korea,,,,"By David E. Sanger, Special To the New York Times","[{'firstname': 'David', 'middlename': 'E.', 'lastname': 'Sanger', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,
"LEAD: The United States announced today that it was relaxing restrictions on trade with, travel to and diplomatic contact with North Korea.",https://www.nytimes.com/1988/11/01/world/us-eases-some-curbs-on-north-korea.html,,"The United States announced today that it was relaxing restrictions on trade with, travel to and diplomatic contact with North Korea.",A,3,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'ROH TAE WOO', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Travel Restrictions', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'International Trade and World Market', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Travel and Vacations', 'rank': 8, 'major': 'N'}]",1988-11-01T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/a3fde956-290c-5b13-a88b-b72b90ed1638,666,nyt://article/a3fde956-290c-5b13-a88b-b72b90ed1638,U.S. Eases Some Curbs on North Korea,,,U.S. Eases Some Curbs on North Korea,,,,"By Robert Pear, Special To the New York Times","[{'firstname': 'Robert', 'middlename': None, 'lastname': 'Pear', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,
"LEAD: Opening the first day of talks with South Korea, Prime Minister Yon Hyong Muk of North Korea today made a sweeping disarmament proposal reiterating long-standing demands for a United States troop withdrawal as a prerequisite for any further efforts at reconciliation on the Korean peninsula.",https://www.nytimes.com/1990/09/05/world/north-south-korea-talks-begin-today.html,,Talks Start Amiably,A,3,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'YON HYONG MUK', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'KANG YOUNG HOON', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Military Bases and Installations', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Korean War', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Political Prisoners', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'NORTH KOREA-INTERNATIONAL RELATIONS-SOUTH KOREA', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'UNITED STATES ARMAMENT AND DEFENSE', 'rank': 10, 'major': 'N'}]",1990-09-05T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/2e1a5cb3-2174-5ccb-aaf9-488938a7fe22,538,nyt://article/2e1a5cb3-2174-5ccb-aaf9-488938a7fe22,North-South Korea Talks Begin Today,,,North-South Korea Talks Begin Today,,,,"By Steven R. Weisman, Special To the New York Times","[{'firstname': 'Steven', 'middlename': 'R.', 'lastname': 'Weisman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,
"LEAD: The United States and South Korea will reduce the size of their annual joint military maneuvers to improve the climate for negotiations between North and South Korea, President Roh Tae Woo said today.",https://www.nytimes.com/1990/01/11/world/us-to-pare-war-games-in-south-korea.html,,"The United States and South Korea will reduce the size of their annual joint military maneuvers to improve the climate for negotiations between North and South Korea, President Roh Tae Woo said today.",A,3,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'ROH TAE WOO', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'KIM IL SUNG', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'ARMAMENT, DEFENSE AND MILITARY FORCES', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'MILITARY MANEUVERS', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'SOUTH KOREA-INTERNATIONAL RELATIONS-US', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'UNITED STATES ARMAMENT AND DEFENSE', 'rank': 10, 'major': 'N'}]",1990-01-11T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/aeb93f25-65ad-54c8-a972-5690f1cc18dc,707,nyt://article/aeb93f25-65ad-54c8-a972-5690f1cc18dc,U.S. to Pare War Games in South Korea,,,U.S. to Pare War Games in South Korea,,,,Special to The New York Times,"[{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,
"North Korea, a state every bit as aggressive and repressive as Saddam Hussein's Iraq, is poised to become a full-fledged nuclear military power as early as 1993. There is little time to act if such a highly destabilizing development is to be prevented.. N",https://www.nytimes.com/1991/11/22/opinion/IHT-stop-north-korea-on-high-road-to-a-bomb.html,"North Korea, a state every bit as aggressive and repressive as Saddam Hussein's Iraq, is poised to become a full-fledged nuclear military power as early as 1993. There is little time to act if such a highly destabilizing development is to be preve...","North Korea, a state every bit as aggressive and repressive as Saddam Hussein's Iraq, is poised to become a full-fledged nuclear military power as early as 1993. There is little time to act if such a highly destabilizing development is to be prevented.",,,International Herald Tribune,[],[],1991-11-22T05:00:00+0000,article,IHT News,Opinion,,nyt://article/84e2b760-4ddf-53ca-aaf7-acd07fb49f17,5512,nyt://article/84e2b760-4ddf-53ca-aaf7-acd07fb49f17,Stop North Korea on 'High Road' to a Bomb,,,Stop North Korea on 'High Road' to a Bomb,,,,"By François Heisbourg, International Herald Tribune","[{'firstname': 'François', 'middlename': None, 'lastname': 'Heisbourg', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'International', 'middlename': 'Herald', 'lastname': 'Tribune', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,
"LEAD: North Korea said today that it would boycott a planned meeting with the South on Friday because South Korea was going ahead with joint military exercises with the United States, according to South Korean press reports.",https://www.nytimes.com/1989/02/09/world/north-korea-threatens-to-boycott-talks-with-seoul.html,,"North Korea said today that it would boycott a planned meeting with the South on Friday because South Korea was going ahead with joint military exercises with the United States, according to South Korean press reports.",A,7,The New York Times,[],"[{'name': 'glocations', 'value': 'South Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'North Korea', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'ARMAMENT, DEFENSE AND MILITARY FORCES', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'UNITED STATES ARMAMENT AND DEFENSE', 'rank': 5, 'major': 'N'}]",1989-02-09T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/f7fe4a26-bbaf-54a8-b71f-48b9144fadd1,460,nyt://article/f7fe4a26-bbaf-54a8-b71f-48b9144fadd1,North Korea Threatens to Boycott Talks With Seoul,,,North Korea Threatens to Boycott Talks With Seoul,,,,"By Susan Chira, Special To the New York Times","[{'firstname': 'Susan', 'middlename': None, 'lastname': 'Chira', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,
